"","y0","mumax","K","lambda","ID"
"1",1.1238013230268,0.0289783975809691,11.3860966257264,-15.1624736137902,1
"2",1.29380402464281,0.0222058335935536,10.8726473702958,-19.4009529931276,2
"3",1.19261787112275,0.0237681818517424,10.5114875669709,-16.5054188537788,3
"4",1.87283537787167,0.0232941438263896,10.0396314018802,10.5858638623382,4
"5",1.55245482692466,0.0231223900680969,9.66330470274462,7.33425246320503,5
"6",1.71081183120955,0.0204512221903142,10.1469489326872,6.29395137590104,6
"7",1.38368565811313,0.0258134019884689,9.73645335374462,-0.467086236381458,7
"8",1.22436996285374,0.0278861265189327,9.95874788310486,-4.74560613650858,8
"9",1.33525015377984,0.0290407825268233,9.96910385917231,1.18372570418674,9
"10",2.69010702004665,0.0197597015156999,10.3898576298769,25.6878686075631,10
"11",2.99728540955821,0.0187989310261811,10.6995436979005,23.4954042084159,11
"12",2.33667511570904,0.0221954515145648,10.5959977894229,19.8146374717157,12
"13",2.05491275826418,0.0181089220044935,9.96630114839339,2.84359450658007,13
"14",1.62425254818352,0.0229130238869412,9.84823085481334,3.3339287160324,14
"15",1.38261527052619,0.0232835418497783,9.26750172796704,-1.44466217469915,15
"16",2.2320623292029,0.019315378662875,9.12445704288365,21.2812540516751,16
"17",2.33192506121379,0.0205778492655385,9.31183989323945,21.6203759552084,17
"18",2.46715365103044,0.0197482027594362,9.21192707608306,22.8869584042768,18
"19",2.28645391450163,0.0218237671123383,10.7503009435955,2.68127032910246,19
"20",2.00331365657274,0.0259850270621594,10.3163328805864,6.23052198517801,20
"21",2.81559211749406,0.0194031011314202,11.0795724899098,4.13448953561094,21
"22",2.19115075987471,0.022368958684623,9.7225956014493,7.93425799416723,22
"23",2.28723352583005,0.0220653749714521,9.67833036946201,9.50270450713476,23
"24",2.34237822952021,0.0218687357460713,9.69427094552923,10.1322573951412,24
"25",1.84306401891738,0.0233827656890246,11.1582269358849,-6.63872919727505,25
"26",1.73605389248565,0.0278743904302507,10.9717882767681,-1.95707265044776,26
"27",1.57111692491876,0.0254675905133145,10.6546890473592,-6.48848736519423,27
"28",2.84897054076501,0.0201663226582868,11.4470849726851,3.39465226967196,28
"29",2.35782073265994,0.0223301847192878,10.6302850385051,4.87004903058096,29
"30",2.65497433889611,0.0226478623255208,10.4151109902876,12.0392604584062,30
"31",2.34069367318975,0.0226787693274975,12.0767972176296,-0.235834314494037,31
"32",2.3709579057105,0.023059389189134,12.3685885115771,-0.108739380026213,32
"33",1.64597317097804,0.0256797245609578,11.7042829676512,-7.54883404042609,33
"34",2.94777668766869,0.0210292925059182,12.0378426864163,17.5289659512992,34
"35",2.70152636007805,0.0231201737089813,11.9626078675313,17.992741890534,35
"36",2.79346536377188,0.0221898434009481,11.1744019561961,16.8915290778877,36
